暦年デフレーター,,,,,,,,,,,,,,,,,,,,,,,,(2015暦年＝100)
"Deflators, Calendar Year",,,,,,,,,,,,,,,,,,,,,,,,(Calendar Year of 2015 = 100)
,家計最終消費支出（再掲）,,,,,,,,,形態別総固定資本形成,,,,,総資本形成,,,財貨・サービス,,,,,,
,,居住者家計の海外での直接購入,（控除）非居住者家計の国内での直接購入,国内家計最終消費支出,,,,,,住宅,その他の建物・構築物,輸送用機械,その他の機械設備等,知的財産生産物,,うち在庫変動,,純輸出（再掲）,輸出（再掲）,,,輸入（再掲）,,
,,,,,耐久財,半耐久財,非耐久財,サービス,,,,,,,,,,,,財貨,サービス（含む非居住者家計の国内での直接購入）,,財貨,サービス（含む居住者家計の海外での直接購入）
,"Consumptionof Households(id, at §Ｉ)",DirectPurchasesAbroad byResidentHouseholds,(Less) DirectPurchases inthe DomesticMarket byNon-ResidentHouseholds ,Domestic FinalConsumptionExpenditure ofHouseholds,DurableGoods,Semi-DurableGoods,Non-DurableGoods,Services,,Gross Fixed Capital Formation by Type,,,,,Gross CapitalFormation,Of WhichChange inInventories,,Goods & Services,,,,,,
,,,,,,,,,,ResidentialInvestment,Other Buildingsand Structures,TransportEquipment,OtherMachinery andEquipment etc.,IntellectualPropertyProducts,,,,"Net Exports(id, at §Ｉ)","Exports(id, at §Ｉ)",,,"Imports(id, at §Ｉ)",,
Calendar Year,,,,,,,,,,,,,,,,,,,,Goods,Services（Including DirectPurchases in theDomestic Marketby Non-ResidentHouseholds),,Goods,Services（Including DirectPurchasesAbroad byResidentHouseholds)
1994/1-12.,107.9 ,43.9 ,97.9 ,108.6 ,312.2 ,108.4 ,91.4 ,100.1 ,,96.3 ,94.1 ,104.7 ,158.4 ,100.3 ,110.5 ,106.2 ,,***,117.9 ,121.4 ,98.0 ,75.9 ,76.0 ,79.9 
1995/1-12.,107.5 ,42.2 ,97.6 ,108.3 ,296.0 ,107.6 ,90.1 ,101.4 ,,95.6 ,93.8 ,103.7 ,153.8 ,99.7 ,109.2 ,104.8 ,,***,115.2 ,119.0 ,93.8 ,74.5 ,74.5 ,78.7 
1996/1-12.,107.6 ,50.4 ,97.6 ,108.3 ,280.3 ,107.3 ,89.6 ,102.6 ,,95.9 ,94.1 ,103.9 ,148.0 ,99.9 ,108.3 ,104.0 ,,***,119.2 ,123.6 ,94.8 ,80.8 ,80.8 ,85.2 
1997/1-12.,109.0 ,57.7 ,99.2 ,109.4 ,273.6 ,108.5 ,91.0 ,104.1 ,,97.5 ,94.8 ,104.3 ,145.1 ,101.3 ,108.6 ,103.6 ,,***,121.4 ,125.9 ,96.6 ,85.8 ,86.1 ,89.8 
1998/1-12.,109.1 ,64.1 ,99.8 ,109.5 ,266.3 ,109.3 ,91.1 ,104.4 ,,95.7 ,93.1 ,103.8 ,143.2 ,101.9 ,107.2 ,100.5 ,,***,122.7 ,126.9 ,99.1 ,83.4 ,82.1 ,91.2 
1999/1-12.,108.5 ,57.0 ,99.5 ,109.0 ,259.4 ,108.3 ,90.9 ,104.2 ,,94.5 ,91.5 ,101.8 ,139.1 ,101.8 ,105.3 ,98.1 ,,***,111.9 ,114.9 ,95.4 ,76.3 ,75.1 ,83.7 
2000/1-12.,107.5 ,54.9 ,98.6 ,108.0 ,245.4 ,107.0 ,90.3 ,103.9 ,,94.4 ,91.6 ,99.3 ,135.2 ,102.0 ,104.6 ,97.6 ,,***,107.1 ,109.5 ,94.4 ,77.2 ,76.3 ,83.9 
2001/1-12.,106.0 ,61.4 ,97.6 ,106.4 ,224.2 ,104.9 ,89.7 ,103.3 ,,93.3 ,90.5 ,98.5 ,129.0 ,101.2 ,102.5 ,95.9 ,,***,109.7 ,111.9 ,98.1 ,79.0 ,77.1 ,88.7 
2002/1-12.,104.5 ,65.3 ,96.6 ,104.8 ,208.0 ,101.8 ,88.5 ,102.8 ,,92.1 ,89.5 ,97.9 ,124.1 ,100.3 ,100.6 ,94.4 ,,***,108.1 ,109.9 ,98.4 ,78.2 ,76.2 ,88.2 
2003/1-12.,103.4 ,65.6 ,96.3 ,103.7 ,192.9 ,100.0 ,88.4 ,102.4 ,,91.9 ,89.5 ,96.3 ,118.1 ,99.1 ,99.0 ,93.8 ,,***,104.0 ,105.5 ,96.1 ,77.7 ,75.2 ,89.5 
2004/1-12.,102.8 ,65.6 ,96.3 ,103.1 ,179.3 ,98.9 ,89.2 ,102.3 ,,92.1 ,90.1 ,95.3 ,113.6 ,99.0 ,98.2 ,95.3 ,,***,102.5 ,103.7 ,95.6 ,79.8 ,77.3 ,91.8 
2005/1-12.,102.0 ,70.2 ,95.9 ,102.2 ,168.1 ,98.6 ,89.3 ,101.7 ,,92.3 ,91.4 ,95.4 ,110.9 ,99.1 ,98.2 ,98.0 ,,***,104.0 ,105.1 ,97.8 ,86.5 ,84.9 ,95.1 
2006/1-12.,102.0 ,77.6 ,96.2 ,102.1 ,157.3 ,98.7 ,90.8 ,101.7 ,,93.6 ,92.8 ,95.3 ,109.6 ,100.3 ,98.9 ,101.4 ,,***,107.4 ,108.5 ,101.2 ,96.0 ,95.2 ,101.5 
2007/1-12.,101.6 ,84.4 ,96.3 ,101.7 ,147.6 ,98.7 ,91.6 ,101.6 ,,95.4 ,94.2 ,95.4 ,108.2 ,100.6 ,99.3 ,104.2 ,,***,109.9 ,110.8 ,104.8 ,102.3 ,101.4 ,108.5 
2008/1-12.,102.3 ,78.6 ,97.8 ,102.4 ,138.9 ,99.0 ,95.0 ,102.0 ,,97.8 ,97.9 ,95.6 ,106.5 ,101.9 ,100.5 ,107.5 ,,***,105.6 ,105.9 ,104.1 ,108.1 ,109.0 ,107.2 
2009/1-12.,100.1 ,69.0 ,96.3 ,100.3 ,127.5 ,98.2 ,92.1 ,101.1 ,,95.7 ,95.7 ,96.2 ,103.6 ,98.3 ,98.0 ,98.5 ,,***,93.1 ,93.6 ,90.5 ,85.1 ,83.7 ,92.0 
2010/1-12.,98.6 ,66.9 ,95.6 ,98.8 ,113.0 ,96.4 ,92.2 ,100.5 ,,94.8 ,95.3 ,96.1 ,100.9 ,98.7 ,97.2 ,99.7 ,,***,91.5 ,91.9 ,89.4 ,88.6 ,88.5 ,90.3 
2011/1-12.,98.2 ,65.6 ,95.3 ,98.4 ,102.9 ,95.4 ,94.5 ,100.0 ,,94.8 ,95.9 ,95.0 ,97.9 ,98.7 ,96.7 ,102.0 ,,***,89.3 ,89.9 ,86.3 ,93.6 ,95.3 ,88.0 
2012/1-12.,97.6 ,66.2 ,95.3 ,97.8 ,98.6 ,95.2 ,95.0 ,99.3 ,,94.1 ,95.9 ,95.1 ,97.1 ,98.6 ,96.4 ,100.7 ,,***,87.5 ,87.9 ,85.5 ,93.0 ,95.1 ,85.5 
2013/1-12.,97.4 ,84.1 ,95.9 ,97.5 ,96.0 ,95.4 ,96.0 ,98.6 ,,95.8 ,97.1 ,97.4 ,97.5 ,98.5 ,97.2 ,104.2 ,,***,96.6 ,96.9 ,95.0 ,103.8 ,106.4 ,94.3 
2014/1-12.,99.4 ,93.1 ,99.1 ,99.5 ,98.9 ,98.0 ,99.8 ,99.6 ,,99.0 ,99.2 ,98.8 ,98.7 ,99.9 ,99.1 ,104.7 ,,***,99.4 ,99.5 ,99.1 ,107.7 ,110.3 ,98.4 
2015/1-12.,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,,***,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
2016/1-12.,99.7 ,89.0 ,99.9 ,99.7 ,99.2 ,101.2 ,99.3 ,99.9 ,,99.5 ,99.4 ,98.4 ,98.4 ,99.9 ,99.1 ,95.5 ,,***,91.7 ,91.4 ,92.8 ,86.8 ,84.9 ,93.5 
2017/1-12.,100.0 ,94.6 ,100.5 ,100.1 ,97.8 ,101.4 ,100.9 ,99.9 ,,101.2 ,100.9 ,98.3 ,98.4 ,101.0 ,100.1 ,99.6 ,,***,95.7 ,95.8 ,95.6 ,94.2 ,93.4 ,97.0 
2018/1-12.,100.8 ,97.2 ,101.7 ,100.8 ,97.3 ,101.4 ,103.1 ,100.1 ,,102.9 ,102.6 ,97.9 ,98.4 ,102.5 ,101.2 ,101.9 ,,***,96.7 ,96.5 ,97.3 ,99.3 ,99.1 ,99.7 
2019/1-12.,101.2 ,93.7 ,102.3 ,101.3 ,98.3 ,102.0 ,103.9 ,100.4 ,,104.2 ,104.4 ,97.9 ,98.4 ,103.0 ,102.0 ,100.3 ,,***,93.7 ,92.8 ,97.2 ,95.6 ,94.5 ,99.4 
2020/1-12.,101.5 ,93.6 ,102.3 ,101.6 ,100.0 ,103.4 ,104.0 ,100.6 ,,105.3 ,105.0 ,98.4 ,98.0 ,103.2 ,101.9 ,96.1 ,,***,91.3 ,90.2 ,95.6 ,88.4 ,86.1 ,96.5 
2021/1-12.,101.1 ,101.9 ,101.7 ,101.1 ,100.1 ,103.3 ,106.2 ,98.7 ,,110.5 ,107.5 ,98.7 ,98.5 ,105.0 ,104.1 ,105.2 ,,***,97.5 ,96.6 ,100.8 ,101.7 ,101.3 ,102.4 
＊在庫デフレーターは暦年平均デフレーターである。,,,,,,,,,,,,,,,,,,,,,,,,
＊暦年デフレーター原系列＝（名目原系列 / 実質原系列）×１００,,,,,,,,,,,,,,,,,,,,,,,,
