Date;2947 - Exports (Fob) - Primary products - US$;2974 - Exports (Fob) - Semimanufactured products - US$;3001 - Exports (Fob) - Manufactured products - US$;3546 - International reserves - Total - monthly - US$ (million);3695 - Exchange rate - Free - United States dollar (purchase) - end of period - 3695 - c.m.u./US$;3698 - Exchange rate - Free - United States dollar (sale) - period average - 3698 - c.m.u./US$
01/1953;-;-;-;-;18.3800 ;18.7200
02/1953;-;-;-;-;36.5000 ;38.0000
03/1953;-;-;-;-;41.0000 ;38.2581
04/1953;-;-;-;-;39.0000 ;41.9333
05/1953;-;-;-;-;43.0000 ;40.2581
06/1953;-;-;-;-;43.7000 ;44.0700
07/1953;-;-;-;-;39.9000 ;44.3800
08/1953;-;-;-;-;37.5000 ;40.6677
09/1953;-;-;-;-;37.1000 ;38.4867
10/1953;-;-;-;-;37.1000 ;38.1000
11/1953;-;-;-;-;51.0000 ;38.5967
12/1953;-;-;-;-;54.5000 ;53.0968
01/1954;-;-;-;-;53.0000 ;56.3700
02/1954;-;-;-;-;58.5000 ;54.8929
03/1954;-;-;-;-;56.6000 ;59.9452
04/1954;-;-;-;-;50.5000 ;58.0900
05/1954;-;-;-;-;55.0000 ;52.1452
06/1954;-;-;-;-;56.0000 ;56.5333
07/1954;-;-;-;-;58.5000 ;57.6613
08/1954;-;-;-;-;59.8000 ;60.0419
09/1954;-;-;-;-;61.8000 ;61.3667
10/1954;-;-;-;-;64.0000 ;63.5129
11/1954;-;-;-;-;69.5000 ;65.6833
12/1954;-;-;-;-;72.0000 ;71.1613
01/1955;-;-;-;-;70.0000 ;73.4355
02/1955;-;-;-;-;71.0000 ;71.5357
03/1955;-;-;-;-;73.5000 ;72.5806
04/1955;-;-;-;-;74.0000 ;75.0333
05/1955;-;-;-;-;74.0000 ;75.5000
06/1955;-;-;-;-;73.0000 ;75.4667
07/1955;-;-;-;-;69.5000 ;74.2100
08/1955;-;-;-;-;68.5000 ;71.4677
09/1955;-;-;-;-;65.0000 ;70.3833
10/1955;-;-;-;-;63.0000 ;66.9355
11/1955;-;-;-;-;63.5000 ;65.0167
12/1955;-;-;-;-;64.5000 ;65.5645
01/1956;-;-;-;-;67.0000 ;66.5806
02/1956;-;-;-;-;66.5000 ;68.9828
03/1956;-;-;-;-;68.0000 ;68.6935
04/1956;-;-;-;-;70.0000 ;70.0667
05/1956;-;-;-;-;76.0000 ;72.3871
06/1956;-;-;-;-;76.0000 ;78.0000
07/1956;-;-;-;-;70.0000 ;77.6129
08/1956;-;-;-;-;70.0000 ;72.0000
09/1956;-;-;-;-;65.0000 ;71.5000
10/1956;-;-;-;-;65.0000 ;67.0000
11/1956;-;-;-;-;63.0000 ;66.9333
12/1956;-;-;-;-;63.5000 ;65.0645
01/1957;-;-;-;-;63.5000 ;65.5000
02/1957;-;-;-;-;64.3000 ;65.5286
03/1957;-;-;-;-;63.3000 ;66.2000
04/1957;-;-;-;-;66.5000 ;65.4067
05/1957;-;-;-;-;71.5000 ;68.6613
06/1957;-;-;-;-;69.0000 ;73.2500
07/1957;-;-;-;-;72.0000 ;71.0871
08/1957;-;-;-;-;77.3000 ;74.0419
09/1957;-;-;-;-;80.3000 ;79.1000
10/1957;-;-;-;-;84.3000 ;82.2581
11/1957;-;-;-;-;91.3000 ;86.4900
12/1957;-;-;-;-;88.8000 ;93.2194
01/1958;-;-;-;-;96.3000 ;92.8742
02/1958;-;-;-;-;96.8000 ;99.5679
03/1958;-;-;-;-;106.3000 ;103.2194
04/1958;-;-;-;-;120.3000 ;113.1333
05/1958;-;-;-;-;122.5000 ;130.4258
06/1958;-;-;-;-;130.3000 ;131.0333
07/1958;-;-;-;-;132.3000 ;134.6548
08/1958;-;-;-;-;152.3000 ;138.9290
09/1958;-;-;-;-;154.3000 ;157.6167
10/1958;-;-;-;-;139.8000 ;146.7677
11/1958;-;-;-;-;135.3000 ;141.8833
12/1958;-;-;-;-;137.8000 ;138.2194
01/1959;-;-;-;-;141.3000 ;144.9774
02/1959;-;-;-;-;136.8000 ;142.3321
03/1959;-;-;-;-;137.3000 ;140.0700
04/1959;-;-;-;-;134.8000 ;136.9700
05/1959;-;-;-;-;129.3000 ;134.2300
06/1959;-;-;-;-;143.0000 ;137.9000
07/1959;-;-;-;-;150.0000 ;149.6700
08/1959;-;-;-;-;150.0000 ;153.5000
09/1959;-;-;-;-;150.0000 ;153.5000
10/1959;-;-;-;-;160.0000 ;161.6452
11/1959;-;-;-;-;180.0000 ;177.3000
12/1959;-;-;-;-;180.0000 ;184.1000
01/1960;-;-;-;-;183.0000 ;189.9200
02/1960;-;-;-;-;182.0000 ;186.2500
03/1960;-;-;-;-;182.0000 ;186.0000
04/1960;-;-;-;-;182.0000 ;186.0000
05/1960;-;-;-;-;182.0000 ;186.0000
06/1960;-;-;-;-;182.0000 ;186.0000
07/1960;-;-;-;-;182.0000 ;186.0000
08/1960;-;-;-;-;182.0000 ;186.0000
09/1960;-;-;-;-;182.0000 ;186.0000
10/1960;-;-;-;-;182.0000 ;186.0000
11/1960;-;-;-;-;182.0000 ;186.0000
12/1960;-;-;-;-;190.0000 ;187.4516
01/1961;-;-;-;-;215.0000 ;209.5200
02/1961;-;-;-;-;215.0000 ;220.0000
03/1961;-;-;-;-;266.0000 ;246.6900
04/1961;-;-;-;-;274.0000 ;282.2300
05/1961;-;-;-;-;258.0000 ;270.1000
06/1961;-;-;-;-;256.0000 ;263.1000
07/1961;-;-;-;-;256.0000 ;264.0000
08/1961;-;-;-;-;280.0000 ;270.7400
09/1961;-;-;-;-;292.0000 ;293.3700
10/1961;-;-;-;-;300.0000 ;303.8400
11/1961;-;-;-;-;300.0000 ;307.0000
12/1961;-;-;-;-;300.0000 ;307.0000
01/1962;-;-;-;-;310.0000 ;318.0000
02/1962;-;-;-;-;310.0000 ;318.0000
03/1962;-;-;-;-;310.0000 ;318.0000
04/1962;-;-;-;-;310.0000 ;318.0000
05/1962;-;-;-;-;349.8000 ;334.0000
06/1962;-;-;-;-;355.0000 ;359.0000
07/1962;-;-;-;-;357.0000 ;367.0000
08/1962;-;-;-;-;403.0000 ;392.0000
09/1962;-;-;-;-;460.0000 ;463.0000
10/1962;-;-;-;-;460.0000 ;475.0000
11/1962;-;-;-;-;460.0000 ;475.0000
12/1962;-;-;-;-;460.0000 ;475.0000
01/1963;-;-;-;-;460.0000 ;475.0000
02/1963;-;-;-;-;460.0000 ;475.0000
03/1963;-;-;-;-;460.0000 ;475.0000
04/1963;-;-;-;-;600.0000 ;516.0000
05/1963;-;-;-;-;600.0000 ;620.0000
06/1963;-;-;-;-;600.0000 ;620.0000
07/1963;-;-;-;-;600.0000 ;620.0000
08/1963;-;-;-;-;600.0000 ;620.0000
09/1963;-;-;-;-;600.0000 ;620.0000
10/1963;-;-;-;-;600.0000 ;620.0000
11/1963;-;-;-;-;600.0000 ;620.0000
12/1963;-;-;-;-;600.0000 ;620.0000
01/1964;-;-;-;-;600.0000 ;620.0000
02/1964;-;-;-;-;1,100.0000 ;732.0000
03/1964;-;-;-;-;1,160.0000 ;1,179.0000
04/1964;-;-;-;-;1,160.0000 ;1,200.0000
05/1964;-;-;-;-;1,160.0000 ;1,200.0000
06/1964;-;-;-;-;1,160.0000 ;1,200.0000
07/1964;-;-;-;-;1,160.0000 ;1,200.0000
08/1964;-;-;-;-;1,215.0000 ;1,234.0000
09/1964;-;-;-;-;1,550.0000 ;1,589.0000
10/1964;-;-;-;-;1,550.0000 ;1,610.0000
11/1964;-;-;-;-;1,550.0000 ;1,610.0000
12/1964;-;-;-;-;1,825.0000 ;1,656.0000
01/1965;-;-;-;-;1,825.0000 ;1,850.0000
02/1965;-;-;-;-;1,825.0000 ;1,850.0000
03/1965;-;-;-;-;1,825.0000 ;1,850.0000
04/1965;-;-;-;-;1,825.0000 ;1,850.0000
05/1965;-;-;-;-;1,825.0000 ;1,850.0000
06/1965;-;-;-;-;1,825.0000 ;1,850.0000
07/1965;-;-;-;-;1,825.0000 ;1,850.0000
08/1965;-;-;-;-;1,825.0000 ;1,850.0000
09/1965;-;-;-;-;1,825.0000 ;1,850.0000
10/1965;-;-;-;-;1,825.0000 ;1,850.0000
11/1965;-;-;-;-;2,200.0000 ;2,064.0000
12/1965;-;-;-;-;2,200.0000 ;2,220.0000
01/1966;-;-;-;-;2,200.0000 ;2,220.0000
02/1966;-;-;-;-;2,200.0000 ;2,220.0000
03/1966;-;-;-;-;2,200.0000 ;2,220.0000
04/1966;-;-;-;-;2,200.0000 ;2,220.0000
05/1966;-;-;-;-;2,200.0000 ;2,220.0000
06/1966;-;-;-;-;2,200.0000 ;2,220.0000
07/1966;-;-;-;-;2,200.0000 ;2,220.0000
08/1966;-;-;-;-;2,200.0000 ;2,220.0000
09/1966;-;-;-;-;2,200.0000 ;2,220.0000
10/1966;-;-;-;-;2,200.0000 ;2,220.0000
11/1966;-;-;-;-;2,200.0000 ;2,220.0000
12/1966;-;-;-;-;2,200.0000 ;2,220.0000
01/1967;-;-;-;-;2,200.0000 ;2,220.0000
02/1967;-;-;-;-;2.7000 ;2.5910
03/1967;-;-;-;-;2.7000 ;2.7150
04/1967;-;-;-;-;2.7000 ;2.7150
05/1967;-;-;-;-;2.7000 ;2.7150
06/1967;-;-;-;-;2.7000 ;2.7150
07/1967;-;-;-;-;2.7000 ;2.7150
08/1967;-;-;-;-;2.7000 ;2.7150
09/1967;-;-;-;-;2.7000 ;2.7150
10/1967;-;-;-;-;2.7000 ;2.7150
11/1967;-;-;-;-;2.7000 ;2.7150
12/1967;-;-;-;-;2.7000 ;2.7150
01/1968;-;-;-;-;3.2000 ;3.2200
02/1968;-;-;-;-;3.2000 ;3.2200
03/1968;-;-;-;-;3.2000 ;3.2200
04/1968;-;-;-;-;3.2000 ;3.2200
05/1968;-;-;-;-;3.2000 ;3.2200
06/1968;-;-;-;-;3.2000 ;3.2200
07/1968;-;-;-;-;3.2000 ;3.2200
08/1968;-;-;-;-;3.6300 ;3.3000
09/1968;-;-;-;-;3.6800 ;3.6610
10/1968;-;-;-;-;3.6800 ;3.7000
11/1968;-;-;-;-;3.7500 ;3.7320
12/1968;-;-;-;-;3.8100 ;3.8180
01/1969;-;-;-;-;3.8100 ;3.8300
02/1969;-;-;-;-;3.9100 ;3.9050
03/1969;-;-;-;-;3.9800 ;3.9660
04/1969;-;-;-;-;3.9800 ;4.0000
05/1969;-;-;-;-;4.0300 ;4.0260
06/1969;-;-;-;-;4.0300 ;4.0500
07/1969;-;-;-;-;4.0800 ;4.0910
08/1969;-;-;-;-;4.1300 ;4.1070
09/1969;-;-;-;-;4.1300 ;4.1500
10/1969;-;-;-;-;4.1900 ;4.2050
11/1969;-;-;-;-;4.2800 ;4.2540
12/1969;-;-;-;-;4.3300 ;4.3130
01/1970;-;-;-;-;4.3300 ;4.3500
02/1970;-;-;-;-;4.3800 ;4.4030
03/1970;-;-;-;-;4.4600 ;4.4200
04/1970;-;-;-;-;4.4600 ;4.4900
05/1970;-;-;-;-;4.5300 ;4.5200
06/1970;-;-;-;-;4.5300 ;4.5600
07/1970;-;-;-;-;4.6200 ;4.6090
08/1970;-;-;-;-;4.6200 ;4.6500
09/1970;-;-;-;-;4.6900 ;4.6800
10/1970;-;-;-;-;4.6900 ;4.7200
11/1970;-;-;-;-;4.8300 ;4.8300
12/1970;-;-;-;1,187 ;4.9200 ;4.8900
01/1971;-;-;-;1,229 ;4.9200 ;4.9500
02/1971;-;-;-;1,280 ;5.0000 ;5.0000
03/1971;-;-;-;1,316 ;5.0800 ;5.0580
04/1971;-;-;-;1,379 ;5.0800 ;5.1100
05/1971;-;-;-;1,366 ;5.1600 ;5.1950
06/1971;-;-;-;1,436 ;5.2500 ;5.2550
07/1971;-;-;-;1,458 ;5.2500 ;5.2850
08/1971;-;-;-;1,454 ;5.3700 ;5.3880
09/1971;-;-;-;1,582 ;5.4700 ;5.4730
10/1971;-;-;-;1,576 ;5.4700 ;5.5050
11/1971;-;-;-;1,642 ;5.6000 ;5.5970
12/1971;-;-;-;1,723 ;5.6000 ;5.6350
01/1972;-;-;-;1,796 ;5.7500 ;5.6510
02/1972;-;-;-;1,918 ;5.7500 ;5.7850
03/1972;-;-;-;2,049 ;5.8100 ;5.8130
04/1972;-;-;-;2,213 ;5.8100 ;5.8450
05/1972;-;-;-;2,439 ;5.8800 ;5.9020
06/1972;-;-;-;2,486 ;5.8800 ;5.9150
07/1972;-;-;-;2,689 ;5.9300 ;5.9430
08/1972;-;-;-;3,011 ;5.9300 ;5.9650
09/1972;-;-;-;3,348 ;5.9900 ;6.0190
10/1972;-;-;-;3,581 ;6.0600 ;6.0600
11/1972;-;-;-;3,917 ;6.1300 ;6.1200
12/1972;-;-;-;4,183 ;6.1800 ;6.1900
01/1973;-;-;-;4,304 ;6.1800 ;6.2150
02/1973;-;-;-;4,456 ;6.0000 ;6.1080
03/1973;-;-;-;4,920 ;6.0000 ;6.0300
04/1973;-;-;-;5,143 ;6.0600 ;6.0480
05/1973;-;-;-;5,544 ;6.0600 ;6.1000
06/1973;-;-;-;5,981 ;6.0600 ;6.1000
07/1973;-;-;-;6,128 ;6.0900 ;6.1230
08/1973;-;-;-;6,253 ;6.0900 ;6.1300
09/1973;-;-;-;6,463 ;6.1200 ;6.1410
10/1973;-;-;-;6,490 ;6.1200 ;6.1600
11/1973;-;-;-;6,541 ;6.1200 ;6.1600
12/1973;-;-;-;6,416 ;6.1800 ;6.1940
01/1974;-;-;-;5,909 ;6.1800 ;6.2200
02/1974;-;-;-;6,098 ;6.4200 ;6.3720
03/1974;-;-;-;6,536 ;6.4200 ;6.4550
04/1974;-;-;-;6,528 ;6.3000 ;6.5100
05/1974;-;-;-;6,338 ;6.3000 ;6.3400
06/1974;-;-;-;6,516 ;6.7800 ;6.6950
07/1974;-;-;-;6,260 ;6.8500 ;6.8670
08/1974;-;-;-;6,182 ;6.9800 ;6.9590
09/1974;-;-;-;5,751 ;7.0900 ;7.0670
10/1974;-;-;-;5,576 ;7.1800 ;7.1460
11/1974;-;-;-;5,295 ;7.2900 ;7.2670
12/1974;-;-;-;5,269 ;7.4000 ;7.3610
01/1975;-;-;-;4,990 ;7.5100 ;7.4560
02/1975;-;-;-;4,824 ;7.5800 ;7.5770
03/1975;-;-;-;4,497 ;7.7000 ;7.6620
04/1975;-;-;-;4,311 ;7.8100 ;7.8030
05/1975;-;-;-;4,193 ;7.9300 ;7.9230
06/1975;-;-;-;3,797 ;8.0200 ;7.9890
07/1975;-;-;-;3,754 ;8.0800 ;8.1170
08/1975;-;-;-;3,891 ;8.3100 ;8.2880
09/1975;-;-;-;3,773 ;8.4700 ;8.4040
10/1975;-;-;-;3,690 ;8.6200 ;8.5530
11/1975;-;-;-;3,679 ;8.8500 ;8.7630
12/1975;-;-;-;4,040 ;9.0200 ;8.9850
01/1976;-;-;-;3,868 ;9.2000 ;9.1370
02/1976;-;-;-;3,673 ;9.3700 ;9.3230
03/1976;-;-;-;3,551 ;9.8900 ;9.5980
04/1976;-;-;-;3,527 ;10.3200 ;10.1340
05/1976;-;-;-;3,404 ;10.5000 ;10.4180
06/1976;-;-;-;3,719 ;10.7300 ;10.6690
07/1976;-;-;-;3,948 ;10.8900 ;10.8420
08/1976;-;-;-;4,408 ;11.1000 ;11.0530
09/1976;-;-;-;4,592 ;11.3000 ;11.3130
10/1976;-;-;-;4,956 ;11.7600 ;11.5540
11/1976;-;-;-;5,143 ;11.9900 ;11.8750
12/1976;-;-;-;6,544 ;12.2800 ;12.1600
01/1977;-;-;-;6,195 ;12.5200 ;12.4620
02/1977;-;-;-;5,880 ;12.8000 ;12.6990
03/1977;-;-;-;5,822 ;12.9800 ;13.0030
04/1977;-;-;-;5,787 ;13.3000 ;13.3480
05/1977;-;-;-;5,808 ;13.9300 ;13.6980
06/1977;-;-;-;5,709 ;14.2800 ;14.0500
07/1977;-;-;-;6,147 ;14.4900 ;14.4200
08/1977;-;-;-;6,202 ;14.7400 ;14.6900
09/1977;-;-;-;5,985 ;14.9200 ;14.9300
10/1977;-;-;-;6,040 ;15.1800 ;15.1410
11/1977;-;-;-;5,995 ;15.4400 ;15.4180
12/1977;-;-;-;7,256 ;15.9500 ;15.8690
01/1978;-;-;-;6,756 ;16.1500 ;16.1140
02/1978;-;-;-;6,859 ;16.4000 ;16.3590
03/1978;-;-;-;7,271 ;16.8500 ;16.6920
04/1978;-;-;-;7,553 ;17.1700 ;16.9960
05/1978;-;-;-;7,611 ;17.6000 ;17.4180
06/1978;-;-;-;8,112 ;17.9300 ;17.8050
07/1978;-;-;-;8,917 ;18.3100 ;18.1200
08/1978;-;-;-;9,810 ;18.7500 ;18.5990
09/1978;-;-;-;10,026 ;19.1500 ;19.0500
10/1978;-;-;-;10,297 ;19.5400 ;19.3390
11/1978;-;-;-;11,193 ;19.9500 ;19.8250
12/1978;-;-;-;11,895 ;20.7800 ;20.5200
01/1979;-;-;-;11,338 ;21.6500 ;21.2260
02/1979;-;-;-;11,320 ;22.1100 ;21.9430
03/1979;-;-;-;11,136 ;22.9900 ;22.6480
04/1979;-;-;-;11,411 ;23.6500 ;23.4080
05/1979;-;-;-;10,859 ;25.5200 ;24.5860
06/1979;-;-;-;10,108 ;25.5200 ;25.6550
07/1979;-;-;-;10,161 ;25.9800 ;26.1150
08/1979;-;-;-;9,836 ;27.6400 ;26.9900
09/1979;-;-;-;9,327 ;29.6900 ;28.7920
10/1979;-;-;-;9,804 ;30.2800 ;30.1580
11/1979;-;-;-;9,497 ;31.9000 ;31.5510
12/1979;-;-;-;9,689 ;42.3300 ;40.2720
01/1980;-;-;-;8,823 ;43.6900 ;43.6430
02/1980;-;-;-;8,837 ;45.1110 ;44.8620
03/1980;-;-;-;7,953 ;46.6000 ;46.5160
04/1980;-;-;-;7,533 ;48.8600 ;48.3240
05/1980;-;-;-;6,688 ;50.6100 ;49.7900
06/1980;-;-;-;6,573 ;52.1200 ;51.3620
07/1980;-;-;-;7,226 ;53.6800 ;52.8470
08/1980;-;-;-;6,970 ;55.6500 ;54.6450
09/1980;-;-;-;6,486 ;57.3900 ;56.6080
10/1980;-;-;-;6,803 ;60.4900 ;58.7830
11/1980;-;-;-;6,185 ;62.3200 ;61.3210
12/1980;-;-;-;6,913 ;65.1700 ;63.8710
01/1981;-;-;-;6,627 ;68.1000 ;67.5210
02/1981;-;-;-;6,584 ;71.5100 ;70.5110
03/1981;-;-;-;6,474 ;76.1500 ;74.3720
04/1981;-;-;-;6,272 ;80.9500 ;78.9630
05/1981;-;-;-;6,370 ;85.8000 ;84.0400
06/1981;-;-;-;6,150 ;90.9500 ;88.6730
07/1981;-;-;-;6,232 ;96.4000 ;93.9600
08/1981;-;-;-;6,279 ;102.1800 ;99.9210
09/1981;-;-;-;6,347 ;108.1000 ;105.2840
10/1981;-;-;-;6,408 ;114.2600 ;111.4670
11/1981;-;-;-;6,574 ;120.5400 ;117.9550
12/1981;-;-;-;7,507 ;127.1600 ;124.8310
01/1982;-;-;-;7,280 ;133.7700 ;131.2100
02/1982;-;-;-;7,080 ;140.4500 ;137.4800
03/1982;-;-;-;7,082 ;147.4700 ;144.9170
04/1982;-;-;-;7,089 ;154.8400 ;152.2280
05/1982;-;-;-;6,921 ;163.3500 ;159.9800
06/1982;-;-;-;6,941 ;172.3300 ;168.3350
07/1982;-;-;-;7,035 ;181.8000 ;177.7550
08/1982;-;-;-;6,970 ;192.7100 ;189.1060
09/1982;-;-;-;5,051 ;206.2000 ;202.0880
10/1982;-;-;-;3,877 ;220.6300 ;215.6900
11/1982;-;-;-;3,783 ;236.0700 ;229.9560
12/1982;-;-;-;3,994 ;251.4100 ;245.4260
01/1983;-;-;-;3,137 ;273.9100 ;263.1960
02/1983;-;-;-;3,209 ;379.5400 ;315.5360
03/1983;-;-;-;3,480 ;415.4600 ;400.5600
04/1983;-;-;-;3,587 ;452.6700 ;435.2630
05/1983;-;-;-;3,389 ;491.1500 ;474.6320
06/1983;-;-;-;3,803 ;540.2700 ;517.7780
07/1983;-;-;-;3,822 ;608.8800 ;570.3640
08/1983;-;-;-;4,242 ;668.0000 ;643.3400
09/1983;-;-;-;3,965 ;735.0000 ;701.3810
10/1983;-;-;-;3,798 ;838.0000 ;785.3000
11/1983;-;-;-;4,264 ;909.0000 ;871.0500
12/1983;-;-;-;4,563 ;979.0000 ;946.1360
01/1984;-;-;-;4,608 ;1,075.0000 ;1,021.0450
02/1984;-;-;-;5,360 ;1,207.0000 ;1,130.7620
03/1984;-;-;-;5,936 ;1,328.0000 ;1,270.2000
04/1984;-;-;-;6,859 ;1,446.0000 ;1,387.7890
05/1984;-;-;-;7,164 ;1,574.0000 ;1,510.7270
06/1984;-;-;-;7,950 ;1,719.0000 ;1,644.7500
07/1984;-;-;-;8,354 ;1,896.0000 ;1,816.0000
08/1984;-;-;-;9,354 ;2,097.0000 ;1,994.3040
09/1984;-;-;-;9,639 ;2,317.0000 ;2,203.9470
10/1984;-;-;-;9,898 ;2,609.0000 ;2,453.7730
11/1984;-;-;-;10,571 ;2,867.0000 ;2,734.5000
12/1984;-;-;-;11,995 ;3,168.0000 ;3,008.5500
01/1985;-;-;-;10,521 ;3,567.0000 ;3,363.8180
02/1985;-;-;-;10,635 ;3,931.0000 ;3,764.1110
03/1985;-;-;-;11,454 ;4,430.0000 ;4,160.3810
04/1985;-;-;-;11,443 ;4,960.0000 ;4,717.8950
05/1985;-;-;-;11,421 ;5,460.0000 ;5,236.3640
06/1985;-;-;-;11,647 ;5,960.0000 ;5,742.1050
07/1985;-;-;-;12,004 ;6,420.0000 ;6,220.0000
08/1985;-;-;-;12,178 ;6,950.0000 ;6,711.3640
09/1985;-;-;-;11,860 ;7,785.0000 ;7,461.6670
10/1985;-;-;-;11,812 ;8,515.0000 ;8,186.5220
11/1985;-;-;-;11,862 ;9,305.0000 ;8,928.5000
12/1985;-;-;-;11,608 ;10,440.0000 ;9,912.0000
01/1986;-;-;-;9,868 ;12,095.0000 ;11,310.0000
02/1986;-;-;-;9,680 ;13,770.0000 ;13,029.0000
03/1986;-;-;-;10,072 ;13.7700 ;13.8400
04/1986;-;-;-;10,327 ;13.7700 ;13.8400
05/1986;-;-;-;10,419 ;13.7700 ;13.8400
06/1986;-;-;-;10,391 ;13.7700 ;13.8400
07/1986;-;-;-;9,499 ;13.7700 ;13.8400
08/1986;-;-;-;9,105 ;13.7700 ;13.8400
